               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  68,            0.023428,            0.016608,                   0,             0.89976,             0.74357,              0.8169,              0.6564,            0.034808,             0.01669,                   0,            0.007789,            0.007789,            0.007789
                  69,            0.023848,            0.017741,                   0,             0.86748,             0.72189,             0.80218,             0.63606,            0.035547,            0.017296,                   0,            0.007756,            0.007756,            0.007756
                  70,            0.023149,            0.015781,                   0,             0.83298,             0.79677,             0.81884,             0.65517,            0.034617,            0.016693,                   0,            0.007723,            0.007723,            0.007723
                  71,            0.023163,            0.016648,                   0,             0.84274,             0.72781,             0.78907,             0.63387,            0.034292,            0.018098,                   0,             0.00769,             0.00769,             0.00769
                  72,             0.02244,            0.016481,                   0,             0.83783,             0.64199,             0.70652,             0.56532,            0.036257,            0.020203,                   0,            0.007657,            0.007657,            0.007657
                  73,             0.02227,            0.017137,                   0,             0.83563,             0.63314,             0.77742,             0.62051,            0.034172,            0.019698,                   0,            0.007624,            0.007624,            0.007624
                  74,            0.022437,            0.016871,                   0,             0.79716,             0.62787,             0.76591,             0.60734,            0.034507,            0.020811,                   0,            0.007591,            0.007591,            0.007591
                  75,            0.022126,            0.016934,                   0,             0.88622,             0.70414,             0.80242,             0.63755,            0.034591,             0.01675,                   0,            0.007558,            0.007558,            0.007558
                  76,            0.022497,            0.016116,                   0,             0.85794,             0.67456,             0.76757,             0.61501,            0.034275,            0.017648,                   0,            0.007525,            0.007525,            0.007525
                  77,            0.021989,            0.015916,                   0,              0.8254,             0.75528,             0.79749,             0.63562,            0.032881,             0.01683,                   0,            0.007492,            0.007492,            0.007492
                  78,               0.022,            0.016121,                   0,              0.8473,              0.7574,             0.79428,             0.65074,            0.034107,            0.017002,                   0,            0.007459,            0.007459,            0.007459
                  79,            0.022077,            0.017141,                   0,             0.83414,             0.74397,             0.81676,             0.65891,            0.033377,             0.01732,                   0,            0.007426,            0.007426,            0.007426
                  80,            0.022467,            0.015735,                   0,             0.84276,             0.72946,             0.80206,             0.63364,            0.033831,             0.01708,                   0,            0.007393,            0.007393,            0.007393
                  81,            0.021792,            0.016335,                   0,             0.81802,             0.79794,             0.81781,             0.65035,            0.033305,            0.016852,                   0,             0.00736,             0.00736,             0.00736
                  82,            0.021332,            0.014917,                   0,             0.87137,             0.72781,             0.81448,             0.66272,            0.032618,            0.017469,                   0,            0.007327,            0.007327,            0.007327
                  83,            0.021381,            0.015695,                   0,             0.83879,              0.7697,             0.80485,             0.65008,            0.034995,            0.017793,                   0,            0.007294,            0.007294,            0.007294
                  84,            0.021448,            0.015841,                   0,             0.85331,             0.76331,             0.80635,             0.65733,            0.033201,            0.016058,                   0,            0.007261,            0.007261,            0.007261
                  85,            0.021426,            0.015748,                   0,             0.81295,             0.74578,             0.81341,             0.64857,            0.034043,            0.017684,                   0,            0.007228,            0.007228,            0.007228
                  86,            0.021687,            0.015814,                   0,             0.89754,             0.70414,             0.82688,             0.66559,            0.032413,            0.017222,                   0,            0.007195,            0.007195,            0.007195
                  87,            0.020556,            0.016014,                   0,             0.79538,             0.79882,             0.80362,             0.64912,            0.033511,            0.016563,                   0,            0.007162,            0.007162,            0.007162
                  88,            0.021538,            0.015943,                   0,             0.78314,             0.76928,             0.81116,              0.6555,            0.035259,            0.016444,                   0,            0.007129,            0.007129,            0.007129
                  89,             0.02079,            0.015605,                   0,             0.81619,             0.76923,             0.80063,              0.6501,            0.033535,            0.017235,                   0,            0.007096,            0.007096,            0.007096
                  90,            0.020621,            0.015109,                   0,             0.83424,             0.77429,             0.82883,              0.6724,            0.033597,            0.016699,                   0,            0.007063,            0.007063,            0.007063
