               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  52,            0.021728,            0.018477,           0.0032963,              0.8759,             0.85883,             0.86268,             0.60467,            0.024316,            0.010205,           0.0037735,            0.004951,            0.004951,            0.004951
                  53,            0.021685,            0.018251,           0.0033606,             0.90532,             0.84925,             0.86371,             0.63416,            0.023785,            0.010133,           0.0038026,            0.004852,            0.004852,            0.004852
                  54,            0.021706,            0.018244,           0.0034514,              0.9193,             0.86142,             0.86719,             0.61105,            0.024672,            0.010447,           0.0039255,            0.004753,            0.004753,            0.004753
                  55,            0.021592,            0.018372,           0.0032972,             0.89455,             0.82954,             0.86536,             0.62715,            0.023639,            0.010163,           0.0037727,            0.004654,            0.004654,            0.004654
                  56,             0.02134,            0.017998,           0.0033144,             0.90267,             0.84184,             0.86285,             0.60441,            0.024693,            0.010375,           0.0036301,            0.004555,            0.004555,            0.004555
                  57,            0.021207,            0.018021,           0.0032448,             0.89167,             0.83659,             0.85932,             0.60239,            0.024687,            0.010334,           0.0036533,            0.004456,            0.004456,            0.004456
                  58,            0.021006,            0.017857,           0.0032247,             0.91225,             0.82683,             0.85655,             0.59132,            0.025432,            0.010577,           0.0041574,            0.004357,            0.004357,            0.004357
                  59,            0.020953,            0.017798,           0.0031128,             0.88215,             0.84868,             0.85792,              0.6347,            0.023412,            0.010186,            0.003894,            0.004258,            0.004258,            0.004258
                  60,            0.020847,            0.017852,           0.0031615,              0.8704,             0.86638,             0.86227,             0.63448,            0.022688,           0.0099889,           0.0040059,            0.004159,            0.004159,            0.004159
                  61,            0.020776,            0.017794,           0.0030473,             0.90702,             0.82733,             0.86378,             0.63222,            0.022997,           0.0098454,           0.0040131,             0.00406,             0.00406,             0.00406
                  62,            0.020469,            0.017649,           0.0031158,              0.9044,             0.84151,              0.8667,             0.62134,            0.023367,            0.010107,           0.0038669,            0.003961,            0.003961,            0.003961
                  63,            0.020404,            0.017382,           0.0030697,              0.8848,             0.84309,               0.859,             0.62979,            0.023537,            0.010081,           0.0040454,            0.003862,            0.003862,            0.003862
                  64,            0.020529,            0.017189,           0.0030894,             0.86948,             0.86458,              0.8648,             0.61891,            0.023229,            0.010373,           0.0038124,            0.003763,            0.003763,            0.003763
                  65,            0.020262,            0.017183,           0.0030708,             0.90903,             0.84162,             0.86291,             0.63306,            0.023481,            0.010444,           0.0039625,            0.003664,            0.003664,            0.003664
                  66,            0.020264,            0.017042,           0.0030941,             0.86922,             0.87221,             0.86199,             0.63195,            0.022607,             0.01027,           0.0037448,            0.003565,            0.003565,            0.003565
                  67,             0.02009,            0.017226,           0.0029573,             0.88468,             0.85281,             0.86357,             0.62879,            0.022179,            0.010233,           0.0039915,            0.003466,            0.003466,            0.003466
                  68,            0.020063,               0.017,           0.0030478,             0.89301,             0.85275,              0.8607,             0.62677,            0.022465,            0.010212,           0.0038652,            0.003367,            0.003367,            0.003367
                  69,            0.019712,            0.016923,           0.0029265,             0.87176,             0.85151,              0.8652,             0.64728,            0.022199,            0.010011,           0.0037946,            0.003268,            0.003268,            0.003268
                  70,            0.019644,            0.017011,           0.0029135,             0.87729,             0.85822,             0.86674,             0.63484,            0.022254,            0.010056,           0.0037738,            0.003169,            0.003169,            0.003169
                  71,            0.019461,            0.016961,           0.0028396,             0.89599,             0.85491,             0.86927,             0.64441,            0.022326,            0.010121,           0.0038408,             0.00307,             0.00307,             0.00307
                  72,            0.019355,            0.016803,           0.0029429,             0.88789,             0.85425,             0.86733,             0.62826,            0.022912,            0.010077,           0.0038515,            0.002971,            0.002971,            0.002971
                  73,             0.01933,            0.016827,           0.0028737,             0.89091,             0.86083,             0.86649,             0.62954,            0.022693,            0.010269,           0.0037441,            0.002872,            0.002872,            0.002872
                  74,            0.019223,            0.016573,            0.002887,             0.88388,             0.85503,             0.86394,               0.633,            0.022607,            0.010227,           0.0037314,            0.002773,            0.002773,            0.002773
                  75,            0.019009,            0.016531,           0.0028064,             0.90351,             0.84734,             0.86299,             0.62797,            0.022506,            0.010306,           0.0037661,            0.002674,            0.002674,            0.002674
                  76,             0.01889,            0.016588,           0.0028883,             0.88864,             0.84868,             0.86178,             0.64333,             0.02235,            0.010175,           0.0038019,            0.002575,            0.002575,            0.002575
                  77,            0.018722,            0.016317,           0.0028767,             0.88918,             0.85631,             0.86613,             0.64396,            0.022539,            0.010262,           0.0037278,            0.002476,            0.002476,            0.002476
                  78,            0.018559,            0.016112,           0.0026859,             0.88446,             0.86255,             0.86323,             0.63872,            0.022725,            0.010447,           0.0037015,            0.002377,            0.002377,            0.002377
                  79,            0.018577,            0.016286,           0.0027897,             0.88809,             0.85329,             0.86391,              0.6412,             0.02254,            0.010234,           0.0039266,            0.002278,            0.002278,            0.002278
                  80,            0.018461,            0.016031,           0.0027472,               0.882,             0.85512,             0.86129,              0.6397,            0.022469,            0.010184,           0.0038803,            0.002179,            0.002179,            0.002179
                  81,            0.018338,            0.015926,           0.0027041,             0.88684,             0.85724,             0.86244,             0.63774,            0.022604,            0.010505,           0.0039449,             0.00208,             0.00208,             0.00208
                  82,            0.018028,            0.016043,           0.0026958,             0.88767,             0.85679,             0.86071,             0.64651,            0.022109,            0.010453,           0.0039143,            0.001981,            0.001981,            0.001981
                  83,            0.018087,            0.015746,           0.0026726,             0.88178,             0.85623,             0.85911,             0.63758,            0.022431,             0.01057,           0.0039217,            0.001882,            0.001882,            0.001882
                  84,            0.017841,            0.015715,            0.002578,             0.88846,             0.85708,              0.8619,              0.6419,            0.022108,              0.0104,           0.0038657,            0.001783,            0.001783,            0.001783
                  85,            0.017801,            0.015518,           0.0026088,             0.89365,             0.85788,             0.86139,             0.63967,            0.022246,             0.01053,           0.0038594,            0.001684,            0.001684,            0.001684
                  86,            0.017515,             0.01561,           0.0026229,             0.89744,             0.85377,             0.86198,             0.63291,            0.022058,            0.010471,           0.0039422,            0.001585,            0.001585,            0.001585
                  87,            0.017399,            0.015459,           0.0025702,             0.89684,             0.84859,             0.86367,             0.63744,            0.021788,             0.01032,           0.0039894,            0.001486,            0.001486,            0.001486
                  88,            0.017394,            0.015318,           0.0025322,              0.8902,             0.85294,             0.86271,             0.63167,            0.022193,            0.010436,           0.0039391,            0.001387,            0.001387,            0.001387
                  89,            0.017248,             0.01521,           0.0025436,             0.88377,             0.85404,             0.86364,             0.64081,            0.022274,            0.010579,            0.003928,            0.001288,            0.001288,            0.001288
                  90,            0.017139,            0.015165,           0.0025432,             0.88704,              0.8532,             0.86356,             0.63352,            0.022058,            0.010633,            0.003948,            0.001189,            0.001189,            0.001189
                  91,            0.016988,            0.014987,           0.0024226,             0.88464,             0.85761,             0.86195,             0.63338,            0.022245,            0.010693,           0.0040417,             0.00109,             0.00109,             0.00109
                  92,             0.01693,            0.014968,           0.0025095,             0.88936,             0.85663,             0.86166,             0.64357,            0.022156,            0.010645,           0.0040409,            0.000991,            0.000991,            0.000991
                  93,            0.016758,            0.014963,           0.0025288,             0.88615,             0.85316,             0.86091,             0.64275,             0.02223,            0.010743,           0.0040659,            0.000892,            0.000892,            0.000892
                  94,            0.016724,            0.015001,           0.0025274,             0.88713,             0.85216,             0.86058,             0.64565,            0.022029,            0.010702,           0.0041145,            0.000793,            0.000793,            0.000793
                  95,             0.01649,             0.01486,           0.0024021,             0.88813,              0.8488,             0.85888,             0.64415,            0.022114,            0.010742,           0.0041536,            0.000694,            0.000694,            0.000694
                  96,            0.016474,            0.014725,           0.0023829,             0.88656,             0.85478,             0.85933,             0.64447,            0.021993,            0.010756,           0.0042078,            0.000595,            0.000595,            0.000595
                  97,            0.016416,            0.014723,           0.0023965,             0.89083,             0.85527,             0.85971,             0.64374,             0.02206,             0.01076,           0.0042545,            0.000496,            0.000496,            0.000496
                  98,            0.016388,            0.014587,           0.0023978,             0.88884,             0.85558,              0.8611,             0.64491,            0.021915,            0.010738,           0.0042889,            0.000397,            0.000397,            0.000397
                  99,             0.01635,            0.014637,             0.00246,             0.89132,              0.8583,             0.86058,             0.64638,            0.021808,            0.010764,           0.0043183,            0.000298,            0.000298,            0.000298
